lens_x,lens_y,lens_z,cone_x,cone_y,cone_z,dx,dy,dz,hex_x,hex_y,p,q,side
51.62087274601244,269.2863460622555,-260.0900857659692,40.82667237846154,268.7358698752906,-235.81825393578484,0.4062624668921484,0.020718330776409558,-0.9135215152170995,94.56395333018637,-301.7777624718884,-19.0,-13.0,left
66.18575314859892,265.2375440581865,-255.64736619455812,53.54789291076067,264.72170249977574,-231.94716075039614,0.4704362825781638,0.019201872830616067,-0.882225023513749,114.35123673222532,-294.0454407958693,-19.0,-12.0,left
33.74948374371305,281.76150806865235,-260.2072823642365,23.689409113646207,279.46534236879,-235.95941980861608,0.3817552250939374,0.08713387184863285,-0.9201470732932552,59.63789087685288,-303.59702979330984,-18.0,-14.0,left
18.593644035685372,284.3668017726578,-261.86765384689954,11.148361426716988,281.9486349070975,-238.1741561548555,0.29836999485873783,0.09690813272496682,-0.9495178565881514,36.36464316090765,-309.24498000531685,-18.0,-15.0,left
47.774881421411294,283.46825934109404,-255.53923886867688,35.602353448429724,280.11476705926844,-231.67225736152525,0.4508191710212592,0.12419923074931302,-0.8839324782589356,77.10918934018947,-293.90472244888025,-18.0,-13.0,left
79.39018472994584,261.7956164917118,-249.3166393610364,64.88918428784233,260.88122733874025,-225.83065901839277,0.5250724986795932,0.033109480910177666,-0.8504132133288071,131.12980036827395,-283.88473504087005,-19.0,-11.0,left
61.87947926061889,280.63000043875445,-249.492201819633,48.579011466033464,277.6175563608411,-226.4974519527159,0.49750122311919304,0.11267984227969621,-0.8601138216182377,96.76537477730034,-284.2632209372235,-18.0,-12.0,left
91.92424524520504,256.8275678137069,-241.63076235624436,75.77582281714018,256.257836663055,-220.1250564040849,0.6003207634122484,0.021179867000795247,-0.7994788266426848,147.2905562914822,-272.3343561691891,-19.0,-10.0,left
27.775404463162232,297.2502011579401,-253.25288063038334,18.064305407272357,292.6145908596044,-229.55517647227873,0.3731243900615787,0.1781115870793882,-0.9105242732015639,41.06513391388843,-294.1352722676468,-17.0,-14.0,left
75.38290018523377,277.43050485498827,-242.8252402661198,60.67255642030511,274.35816026996616,-220.73992410028467,0.5506770946135829,0.11501225374252527,-0.8267568681039233,114.1183052472313,-273.86038415675813,-18.0,-11.0,left
42.261942870787585,296.83341295414755,-248.5784627660846,30.926371626536298,291.8026774193165,-225.83028790133915,0.43751264278245433,0.19416845887671905,-0.8779984606950929,60.91193989228129,-284.63801363831624,-17.0,-13.0,left
12.694173835047877,296.6767993644679,-257.4326264916943,4.90114452017842,292.31171254486475,-232.1892304413426,0.2910331040171575,0.1630155251680548,-0.9427224782088957,18.823956536956587,-303.8836897728033,-17.0,-15.0,left
56.45234006331095,295.31117600491916,-242.71842033865045,43.30214314628843,290.02797158922033,-220.7362594487714,0.5027900124052361,0.20200020048901796,-0.8404749386078916,79.51178200638589,-274.7639815456872,-17.0,-12.0,left
-1.705915280767428,296.54848975128897,-258.0226858952661,-8.196796500992818,293.2363065347056,-233.00784693266812,0.24912573049396639,0.12712450518891744,-0.9600915219843994,-2.7021098671484935,-310.0458299189664,-17.0,-16.0,left
87.99434125052474,272.92242738134433,-235.655062542479,71.47633988378487,269.9208515233827,-214.33987237008463,0.6087825549041133,0.11062518878511599,-0.7855863214508497,130.42152247599938,-262.9833058880656,-18.0,-10.0,left
103.14789375479913,251.8478627976083,-232.96675115555155,85.21378540096947,251.3692048030743,-212.00050461313558,0.6499209888415337,0.017346269521004962,-0.7598038004622956,160.84346016884882,-259.6880993353142,-19.0,-9.0,left
69.90102070383784,292.16565583681177,-236.04289512015163,55.45941956580194,287.1894616956915,-214.83478878536033,0.55254958375217,0.19039398575440464,-0.8114425966658735,97.07395396487198,-264.62866223109677,-17.0,-11.0,left
