lens_x,lens_y,lens_z,cone_x,cone_y,cone_z,dx,dy,dz,hex_x,hex_y,p,q,side
-14.25719517393107,301.8228342736227,-245.03030912984292,-20.21649616663565,294.65761290942174,-221.50127609658065,0.23547577977883413,0.2831265093152205,-0.9297260547389904,-29.523576502418564,-299.06120203729586,-15.0,-16.0,left
-34.83912060795804,312.4638831922495,-237.30178453975813,-38.13554490778005,304.0617201512384,-213.96105181630216,0.13172504313796535,0.3357502518984491,-0.9326951706535362,-63.55664148522247,-296.72743655995134,-14.0,-17.0,left
4.91526342006995,290.5842388722226,-250.61923155415187,-3.603761962751643,285.46259940838036,-226.69172886939066,0.32879239622808754,0.19767004278783928,-0.9234836838660693,5.890021215903701,-299.4350115604061,-16.0,-15.0,left
25.50473743852578,280.45152156652654,-253.08102879319898,15.469814305583895,276.9507779581844,-230.59547501072348,0.4034826674264154,0.14075736807918796,-0.9040957363121921,42.880546139193115,-298.2509586309046,-17.0,-14.0,left
-45.89994083778408,320.9527939771084,-229.85791964776968,-47.42880960019539,311.7360422876254,-205.54382637654663,0.05869589601545166,0.3538469174508447,-0.933459774602783,-80.66691323887895,-291.41754415846754,-13.0,-17.0,left
-22.266615470690883,313.83444872563643,-238.23430944134773,-26.300980139028695,305.1040024423559,-214.73651900442317,0.15889694023020184,0.3438561744664905,-0.9254807905444338,-45.96379532959352,-292.1939387221709,-14.0,-16.0,left
-0.4985226291453584,304.9056045140815,-243.73769068269715,-7.567782473893736,296.85283433628945,-220.13157035954603,0.27268832367920726,0.3106260696283957,-0.9105781256961091,-8.12679591151094,-290.35748182384606,-15.0,-15.0,left
-55.99001848172093,329.2489594653338,-220.7519199590313,-56.250531195602306,318.98623933240907,-199.1112119854191,0.01087632391163028,0.42846533943416454,-0.9034927550798266,-97.540228741269,-284.61652555318096,-12.0,-17.0,left
19.579020424820513,294.1941611080435,-247.0987408274273,10.0372518364141,287.2630868254545,-224.17064545309378,0.37007438527832887,0.26881945738698204,-0.8892587074024272,26.498048630254836,-289.6924431720548,-16.0,-14.0,left
46.64853433356727,269.06356927215757,-253.73989251386422,36.324779540668445,267.5804867071533,-230.43129244690442,0.40428765121143345,0.058078865566493026,-0.9127860321304503,81.08819119794835,-296.3422679031107,-18.0,-13.0,left
-30.9915520318705,325.1710749423951,-228.31546617966177,-33.73606390625679,314.72796971298646,-205.76450678774688,0.10976848348887731,0.4176785805320236,-0.9019398446666529,-61.49473392672266,-282.87310242799276,-13.0,-16.0,left
-67.04143555253688,336.7748639476202,-210.7836827803533,-65.95112135880541,326.2730883127097,-189.0000477881637,-0.045040355435766295,0.4338233052660152,-0.8998714942647587,-108.59856952136091,-274.52665700995937,-11.0,-17.0,left
40.83698945541242,282.9077800013754,-248.46592157971952,29.708317277374334,277.68822791721755,-225.56549860121265,0.42817775605339886,0.20082324856410164,-0.881098083108366,62.1366808463755,-288.77372431683955,-17.0,-13.0,left
